caseid,acronym,country,region,region_n,agent,inarea,mndt,hcons,inttype,inttype_n2,intcat,intcat_n,yearbeg,yearbeg_n,yearend,durays,duram,duram_n,person,person_n,fatal,status,status_n2,status_n,ch7,ch7_n,srcadis,srcadis_n,srctpi,srctpi_n,srcsipr_n,srcoth,bef1992,bef1991,bef1992a
283,Long Term Mission to Georgia,Georgia,EUR,EUR,OSCE,1,"17th CSO meeting (November 6,  1992) Journal No. 2, Annex 2",1,OTHER,OTHER,RORO,RORO,1992,1992,1999 December,2,24,24,,,,NUN,1,NUN,0,0,1,1,1,1,1,https://reliefweb.int/report/georgia/osce-mission-georgia,before 1992,From 1992 onwards,1
284,OMiK,Kosovo,EUR,EUR,OSCE,1,"UNSC Res. 1244 (June 10,1999)",1,OTHER,OTHER,UNRO,UNRO,1999,1999,ongoing,,,,2290,2290,0,NUN,1,NUN,0,0,1,1,0,0,1,https://reliefweb.int/report/serbia/review-osce-mission-kosovos-activities-1999-2001,after 1992,From 1992 onwards,1
285,EUPOL-COPPS,Israel / Palestine,MENA,MENA,EU,0,"Council Joint Action 2005/797/CFSP (November 14, 2005)",1,OTHER,OTHER,RORO,RORO,2006,2006,ongoing,,,,,,,NUN,1,NUN,0,0,1,1,0,0,1,http://eupolcopps.eu/en/node/5166,after 1992,From 1992 onwards,1
286,Long Term Mission to Estonia,Estonia,EUR,EUR,OSCE,1,,1,OTHER,OTHER,RORO,RORO,1993,2001,2001 December,8.8,105,105,,,,NUN,1,NUN,0,0,1,1,0,0,1,http://uca.edu/politicalscience/dadm-project/europerussiacentral-asia-region/estonia-1991-present/,after 1992,From 1992 onwards,1
287,Long Term Mission to Ukraine,Ukraine,EUR,EUR,OSCE,1,,1,OTHER,OTHER,RORO,RORO,1995,1995,1999 April,"3,4",41,41,6,6,0,NUN,1,NUN,0,0,1,1,0,0,0,,after 1992,From 1992 onwards,1
288,Long Term Mission to Montenegro,Montenegro,EUR,EUR,OSCE,1,,1,OTHER,OTHER,RORO,RORO,2006,2006,ongoing,.,.,,15,15,0,NUN,1,NUN,0,0,1,1,0,0,0,,after 1992,From 1992 onwards,1
289,CSCE Spillover Monitoring Mission to Skopje,Kosovo Macedonia,EUR,EUR,OSCE,1,"17th meeting of the Committee of Senior Officials (CSO) (November 6, 1992) 17-CSO/Journal No. 2, Annex 3",1,OBSR,OBSR,RORO,RORO,1992,1992,2001 July,9.8,118,118,,,0,NUN,1,NUN,0,0,1,1,1,1,1,https://reliefweb.int/report/serbia/osce-spillover-monitor-mission-skopje,before 1992,From 1992 onwards,1
290,Long Term Mission to Bosnia Herzegovina,Bosnia and Herzegovina,EUR,EUR,OSCE,1,"OSCE MC Resolution, MC(MC(5).DEC/1 (December 8, 1995)",1,OTHER,OTHER,RORO,RORO,1995,1995,ongoing,12.8,153,,180,180,0,NUN,1,NUN,0,0,1,1,0,0,1,https://reliefweb.int/report/bosnia-and-herzegovina/osce-mission-bosnia-and-herzegovina,after 1992,From 1992 onwards,1
291,EUJUST Themis,Georgia,EURA,EURA,EU,0,"EU Council Joint Action 2004/532/CFSP (June 28, 2004), EU Council Joint Action 2003/872/CFSP (December 8, 2003)",1,OTHER,OTHER,RORO,RORO,2004,2004,2005 July,1,13,13,12,12,0,NUN,1,NUN,0,0,1,1,0,0,1,,after 1992,From 1992 onwards,1
292,Long Term Mission to Croatia,Croatia,EUR,EUR,OSCE,1,,1,OTHER,OTHER,RORO,RORO,1996,1996,1999 June,"2,9",35,35,280,280,0,NUN,1,NUN,0,0,1,1,0,0,1,,after 1992,From 1992 onwards,1
293,Long Term Mission to Latvia,Latvia,EUR,EUR,OSCE,1,,1,OTHER,OTHER,RORO,RORO,1993,1993,2001 December,"8,1",97,97,7,7,0,NUN,1,NUN,0,0,1,1,0,0,1,,after 1992,From 1992 onwards,1
294,Long Term Mission to Moldova,Moldova,EURA,EURA,OSCE,1,,1,OTHER,OTHER,RORO,RORO,1993,1993,ongoing,.,.,,,,,NUN,1,NUN,0,0,1,1,0,0,1,,after 1992,From 1992 onwards,1
